Geschlecht,Alter,Bildungsabschluss,Einkommen,BioV,Gruppe_Bio,Bedingung,CCP,CCC
,,,,,,,,
1,34,3,4,"1,5",2,Intervention A,1,1
,,,,,,,,
1,35,7,1,"1,5",2,KG A,1,1
,,,,,,,,
2,78,8,6,"1,75",2,Intervention A,1,1
,,,,,,,,
2,34,9,5,"1,75",2,KG A,1,2
,,,,,,,,
2,34,5,3,2,2,Intervention B,1,2
,,,,,,,,
2,60,5,4,2,2,Intervention B,1,1
,,,,,,,,
1,27,9,3,2,2,Intervention B,2,2
,,,,,,,,
1,27,5,4,2,2,KG A,1,1
,,,,,,,,
2,33,5,4,2,2,KG B,1,1
,,,,,,,,
1,35,6,2,"2,25",2,Intervention A,2,1
,,,,,,,,
1,59,4,4,"2,25",2,Intervention B,1,1
,,,,,,,,
1,52,7,2,"2,25",2,KG B,1,1
,,,,,,,,
2,53,5,4,"2,5",2,Intervention B,1,2
,,,,,,,,
2,42,9,3,"2,5",2,Intervention B,1,2
,,,,,,,,
2,73,9,5,"2,5",2,KG A,1,1
,,,,,,,,
1,23,8,1,"2,5",2,KG A,1,1
,,,,,,,,
2,85,9,0,"2,5",2,KG B,1,1
,,,,,,,,
2,55,5,0,"2,75",2,KG A,1,1
,,,,,,,,
1,33,5,4,"2,75",2,KG A,1,1
,,,,,,,,
2,45,5,8,"2,75",2,KG B,1,1
,,,,,,,,
1,32,6,2,"2,75",2,KG B,1,1
,,,,,,,,
2,77,4,3,3,2,Intervention A,1,1
,,,,,,,,
1,55,4,4,3,2,Intervention B,1,1
,,,,,,,,
1,55,5,0,3,2,Intervention B,1,2
,,,,,,,,
2,68,9,8,3,2,KG A,1,1
,,,,,,,,
1,61,5,1,3,2,KG A,1,1
,,,,,,,,
1,70,4,4,3,2,KG B,1,1
,,,,,,,,
1,59,8,4,3,2,KG B,1,1
,,,,,,,,
2,45,9,4,3,2,KG B,1,1
,,,,,,,,
1,46,7,7,3,2,KG B,1,1
,,,,,,,,
1,49,8,9,3,2,KG B,1,1
,,,,,,,,
2,77,7,8,"3,25",2,Intervention A,2,2
,,,,,,,,
2,49,9,5,"3,25",2,Intervention A,2,1
,,,,,,,,
1,34,5,5,"3,25",2,Intervention A,2,2
,,,,,,,,
2,59,8,5,"3,25",2,Intervention A,1,1
,,,,,,,,
2,35,8,0,"3,25",2,Intervention A,1,1
,,,,,,,,
2,57,8,8,"3,25",2,Intervention A,1,1
,,,,,,,,
2,39,6,8,"3,25",2,Intervention B,2,2
,,,,,,,,
1,23,5,8,"3,25",2,Intervention B,1,1
,,,,,,,,
1,32,4,4,"3,25",2,Intervention B,1,2
,,,,,,,,
2,54,5,8,"3,25",2,Intervention B,1,1
,,,,,,,,
2,55,5,3,"3,25",2,KG A,1,1
,,,,,,,,
2,55,4,2,"3,25",2,KG B,1,1
,,,,,,,,
1,28,4,5,"3,25",2,KG B,1,1
,,,,,,,,
2,49,3,7,"3,5",2,Intervention A,1,1
,,,,,,,,
1,36,7,4,"3,5",2,Intervention A,1,1
,,,,,,,,
2,32,8,5,"3,5",2,Intervention A,1,1
,,,,,,,,
1,47,3,2,"3,5",2,Intervention B,1,1
,,,,,,,,
2,68,9,2,"3,5",2,Intervention B,1,1
,,,,,,,,
2,56,4,2,"3,5",2,Intervention B,1,1
,,,,,,,,
2,59,4,4,"3,5",2,KG A,1,1
,,,,,,,,
1,33,5,5,"3,5",2,KG A,1,1
,,,,,,,,
2,55,9,5,"3,5",2,KG A,1,1
,,,,,,,,
2,22,7,0,"3,5",2,KG A,1,1
,,,,,,,,
1,34,9,6,"3,5",2,KG A,1,1
,,,,,,,,
2,57,8,1,"3,5",2,KG B,1,1
,,,,,,,,
1,47,4,4,"3,5",2,KG B,1,1
,,,,,,,,
2,46,4,4,"3,5",2,KG B,1,1
,,,,,,,,
2,60,4,2,"3,5",2,KG B,1,1
,,,,,,,,
2,67,7,0,"3,5",2,KG B,1,1
,,,,,,,,
1,32,5,5,"3,5",2,KG B,1,1
,,,,,,,,
2,52,8,8,"3,75",2,Intervention A,2,2
,,,,,,,,
1,48,4,5,"3,75",2,Intervention A,1,1
,,,,,,,,
2,59,4,0,"3,75",2,Intervention A,1,1
,,,,,,,,
