Geschlecht,Alter,EInvestition1_pr_,EInvestition2_pr_,EInvestition3_pr_,Routine1_pr_,Routine2_pr_,Routine3_pr_,Sorglos1_pr_,Sorglos2_pr_,Sorglos3_pr_,Sorglos4_pr_,Ehandlung1_pr_,EHandlung2_pr_,EInvestition1_post,Einvestition2_post,EInvestition3_post,Routine1_post,Routine2_post,Routine3_post,Sorglos1_post,Sorglos2_post,Sorglos3_post,Sorglos4_post,EHandlung1_post,EHandlung2_post,Bildungsabschluss,Einkommen,BioV,Rebound,Gruppe_Bio,Bedingung
1,28,4,5,1,3,2,6,7,6,1,2,6,6,6,6,1,4,3,6,7,5,2,3,7,6,6,3,2.25,-0.08333333333333304,0,KG B
1,43,7,7,4,7,1,7,7,4,1,5,7,7,7,7,5,7,1,7,7,3,2,6,7,7,7,0,5.5,0.166666666666667,0,KG B
1,48,5,5,5,4,4,4,5,4,4,5,4,5,7,7,5,7,1,4,7,1,1,5,7,5,4,0,4.25,-1.25,0,KG B
1,61,7,6,4,6,1,7,5,2,4,7,7,7,7,4,4,7,1,6,4,1,2,7,7,7,3,1,4.25,0.166666666666667,0,KG B
1,61,6,6,7,7,2,6,7,6,1,3,7,6,7,6,7,7,1,6,7,7,1,2,7,7,4,4,5.75,-0.416666666666667,0,KG B
2,72,6,7,6,6,2,6,7,6,1,4,6,7,4,6,6,6,1,5,7,4,1,4,6,7,8,4,5.25,0.416666666666667,0,KG B
1,54,6,6,6,7,1,6,7,6,1,5,7,7,5,6,5,7,1,7,7,5,1,5,7,7,7,0,5,0.166666666666667,0,KG B
2,64,7,7,3,7,6,5,7,1,1,7,7,3,7,7,5,7,5,5,7,1,3,5,7,5,5,4,4,-0.416666666666667,0,KG B
2,70,5,7,4,7,1,5,7,7,1,1,7,7,6,7,7,7,1,5,7,7,1,6,7,7,5,5,5.5,0.08333333333333393,0,KG B
2,50,4,4,5,5,3,4,6,3,2,4,4,6,4,3,5,6,2,5,5,4,1,4,5,6,5,6,3.75,-0.333333333333333,0,KG B
1,67,5,7,2,3,2,7,7,5,1,5,7,7,2,7,3,2,4,7,4,6,2,6,7,7,5,0,4,0.75,0,KG B
1,54,5,1,1,7,1,1,7,1,1,7,7,7,1,1,1,7,1,1,7,1,7,7,7,7,5,2,5.5,0.833333333333333,0,KG B
2,56,6,6,7,6,1,3,6,1,1,4,6,7,6,6,6,6,2,3,6,2,2,6,6,6,4,1,3.75,0.416666666666667,0,KG B
2,35,6,6,4,5,2,6,6,6,2,4,6,3,6,5,2,5,2,4,6,4,2,4,6,2,4,0,5,0.6666666666666661,0,KG B
1,49,7,7,1,7,2,7,7,7,1,2,7,7,7,7,1,6,2,6,7,7,1,2,7,6,5,4,4.25,0.25,0,KG B
2,46,7,5,2,6,5,5,5,4,1,6,5,6,5,5,3,6,5,5,6,4,6,5,5,6,4,5,5,0.333333333333333,0,KG B
1,25,5,2,3,6,5,3,6,7,2,3,6,2,1,2,2,6,6,3,6,4,2,3,6,5,9,4,5.25,0.5,0,KG B
1,66,7,7,4,7,1,3,7,4,1,7,7,7,7,7,7,7,1,7,7,1,1,7,7,7,8,2,5.5,-0.333333333333333,0,KG B
1,57,4,4,5,7,2,7,7,5,1,3,7,2,5,6,5,7,1,7,7,6,1,3,7,7,5,4,4.75,-0.833333333333333,0,KG B
1,40,6,4,5,7,1,7,7,7,1,2,7,7,6,5,4,7,1,7,7,5,1,2,7,7,5,2,4,0.166666666666667,0,KG B
2,39,6,5,5,5,5,6,6,5,4,5,5,4,4,5,4,5,5,6,6,5,5,5,6,5,8,5,4.5,0.166666666666667,0,KG B
1,71,7,5,5,6,2,4,7,3,1,4,6,7,7,5,6,7,1,3,7,1,1,5,6,7,4,7,5.75,0.08333333333333304,0,KG B
1,35,2,2,4,4,4,4,3,4,4,5,4,5,4,4,3,3,4,4,4,3,3,4,3,3,6,1,4,-0.08333333333333304,0,KG B
1,63,6,3,1,7,3,7,7,4,1,5,7,7,6,4,2,7,3,5,7,4,1,5,7,7,5,7,5.5,0,0,KG B
2,61,7,7,5,7,1,6,7,6,1,3,7,7,6,5,1,7,1,5,7,5,1,3,7,7,9,2,5,0.75,0,KG B
1,62,7,7,1,7,1,2,7,1,1,1,7,7,1,7,1,7,1,1,7,1,1,7,7,7,4,0,4.5,1.083333333333333,0,KG B
1,23,5,7,4,6,4,4,7,5,1,2,7,6,3,1,1,2,4,4,7,3,1,5,4,6,7,1,5.5,1.916666666666667,0,KG B
2,71,7,7,6,7,1,6,7,5,1,2,7,7,7,7,7,7,1,6,7,5,1,4,7,7,5,2,4.5,0.08333333333333304,0,KG B
2,71,1,2,2,2,1,2,2,3,2,1,2,5,3,1,3,6,1,3,5,1,1,4,4,7,5,3,4,-0.8333333333333335,0,KG B
1,49,7,7,4,4,1,7,7,4,1,4,4,7,7,7,3,6,1,7,7,3,1,4,6,7,7,3,3.5,-0.166666666666667,0,KG B
2,78,6,6,5,6,1,6,6,5,1,4,6,7,1,1,3,7,1,6,7,3,1,6,7,7,9,4,4.25,1.083333333333334,0,KG B
1,52,7,7,6,7,1,7,7,7,1,4,7,6,6,6,6,7,1,6,7,3,1,5,7,6,4,3,4.75,0.6666666666666661,0,KG B
1,53,6,4,1,7,1,4,7,4,1,5,7,7,5,1,1,7,1,4,7,5,1,5,7,7,5,2,5.25,0.25,0,KG B
1,38,6,6,6,2,2,6,7,6,1,3,6,5,2,6,4,6,4,5,6,2,2,6,3,4,9,7,4,1.5,0,KG B
2,58,6,6,1,4,1,2,4,2,1,4,7,7,6,6,2,4,1,2,4,2,1,4,7,7,5,0,2.5,-0.08333333333333304,0,KG B
2,69,7,7,3,6,1,3,7,5,1,4,7,7,7,7,3,5,1,3,7,5,1,4,6,7,7,7,5.75,0.1666666666666661,0,KG B
2,33,1,2,1,5,3,7,7,6,1,5,6,4,1,1,1,3,2,3,6,3,2,7,5,4,3,1,3.75,1.166666666666667,0,KG B
2,58,7,7,6,6,1,6,7,5,1,3,7,7,5,4,6,6,2,6,6,3,2,4,6,7,9,0,5.75,1,0,KG B
2,71,7,7,7,7,1,7,7,5,1,7,7,7,7,1,7,7,1,7,7,1,1,7,7,7,8,4,5.25,0.833333333333333,0,KG B
1,46,4,5,3,4,1,3,4,1,7,6,7,7,5,2,5,7,2,3,5,1,7,7,7,7,9,7,5.75,-0.166666666666667,0,KG B
2,61,4,4,2,6,1,6,7,1,1,5,7,7,5,5,2,7,1,7,6,1,1,5,6,7,5,2,4,-0.166666666666667,0,KG B
1,23,4,4,2,6,4,7,7,7,1,7,7,5,3,2,4,7,1,7,7,5,1,7,7,7,7,0,4.5,-0.25,0,KG B
1,62,7,7,7,7,1,5,7,5,1,4,7,7,7,4,7,7,1,2,7,1,1,7,7,7,6,3,5.75,1.083333333333334,0,KG B
2,65,5,4,3,3,2,2,7,2,5,6,6,6,6,4,1,4,1,3,7,1,6,7,7,6,4,3,3.5,0,0,KG B
1,27,6,7,3,7,1,6,6,3,1,4,7,5,4,4,1,7,1,4,7,3,1,4,3,7,4,2,3.25,0.8333333333333339,0,KG B
1,24,6,6,3,7,1,6,7,4,1,4,5,7,3,3,2,7,1,7,7,3,1,4,6,7,7,1,5.75,0.5,0,KG B
2,30,7,7,1,7,1,7,7,7,1,1,7,7,7,7,1,7,1,7,7,7,1,1,7,7,4,3,4.25,0,0,KG B
2,44,1,2,4,6,7,6,6,1,4,7,7,2,2,1,4,2,7,6,6,1,5,6,7,2,5,4,5.5,0.333333333333333,0,KG B
1,60,1,1,1,1,1,7,6,1,1,7,7,6,1,1,1,5,1,7,7,1,1,7,7,7,5,0,1,-0.4999999999999996,0,KG B
2,60,6,6,6,6,1,6,7,1,2,7,7,7,6,2,7,6,1,5,7,1,1,7,7,7,9,0,2,0.25,0,KG B
1,76,7,1,1,7,1,7,7,1,1,5,1,1,1,1,1,7,1,7,7,1,1,7,7,1,5,3,4.5,0.166666666666667,0,KG B
1,46,5,4,4,5,1,4,7,6,1,2,6,6,3,3,3,5,2,2,6,5,2,3,6,6,9,0,5.75,0.9166666666666661,0,KG B
1,67,7,7,5,7,1,6,7,7,1,3,7,7,7,7,5,7,1,6,7,4,1,4,7,7,5,3,3,0.333333333333333,0,KG B
1,24,1,1,1,5,5,7,6,2,1,7,5,7,2,2,2,6,6,6,5,3,1,6,6,7,8,2,3.75,-0.3333333333333335,0,KG B
2,67,6,7,2,7,1,3,7,1,1,7,7,7,7,7,3,7,1,4,7,1,1,7,7,7,9,2,5,-0.25,0,KG B
2,65,6,6,4,6,2,4,5,6,1,5,5,7,6,6,5,6,2,5,6,6,1,5,6,6,5,3,5.25,-0.25,0,KG B
2,47,7,7,7,7,1,7,7,4,4,7,7,7,7,7,7,7,1,7,4,4,4,4,7,7,5,7,3.75,0,0,KG B
1,19,4,4,1,3,4,3,7,5,1,4,6,3,2,2,1,2,2,1,5,2,2,3,6,2,7,0,4,0.9166666666666665,0,KG B
2,35,2,4,4,6,1,7,7,6,1,2,5,6,3,3,2,7,1,6,7,6,1,2,7,6,8,5,5,0,0,KG B
1,55,5,5,1,3,2,2,2,1,1,7,6,6,2,6,2,1,3,2,2,1,1,7,7,5,6,2,4.75,0.3333333333333335,0,KG B
2,49,4,6,4,5,2,3,7,5,2,4,6,7,2,5,4,5,3,3,5,3,1,4,5,7,5,5,5.75,0.666666666666667,0,KG B
1,38,7,7,7,7,1,6,7,3,1,4,7,7,7,7,7,7,1,2,7,3,1,4,7,7,8,7,4.5,0.333333333333333,0,KG B
2,56,6,6,5,6,3,5,3,2,2,5,6,4,5,5,5,5,2,5,5,2,2,5,5,5,5,3,5,0,0,KG B
2,40,6,5,4,5,2,6,6,6,2,4,6,6,6,5,5,6,2,6,6,4,1,6,6,6,4,1,5.5,0.08333333333333304,0,KG B
2,31,3,5,5,4,3,5,4,5,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,8,8,4.25,0.333333333333333,0,KG B
1,40,6,7,6,7,1,7,7,2,1,6,7,7,6,7,6,7,1,7,7,1,1,7,7,7,9,7,4.75,0.166666666666667,0,KG B
2,53,7,5,4,7,1,5,7,7,1,1,7,7,7,4,4,7,1,4,7,7,1,1,7,7,7,2,4,0.166666666666667,0,KG B
2,69,5,4,6,5,2,6,6,7,1,2,6,7,5,5,5,6,2,6,7,7,2,2,6,7,5,2,5.75,-0.08333333333333304,0,KG B
1,39,7,7,2,7,7,7,7,1,1,7,6,7,6,7,1,7,7,7,7,1,1,7,6,7,5,5,5,0.166666666666667,0,KG B
2,51,4,4,2,4,5,6,7,2,1,4,5,6,2,2,2,4,4,6,7,3,5,3,4,6,9,5,1.75,0.5,0,KG B
1,61,6,6,6,6,1,4,6,2,1,6,7,6,7,7,6,7,1,4,7,1,1,6,7,6,5,1,5.25,-0.25,0,KG B
1,39,5,6,7,6,4,5,6,2,5,5,7,7,5,7,6,6,3,4,4,3,3,6,7,6,9,3,5,0.08333333333333304,0,KG B
2,61,7,7,3,7,1,5,5,4,1,6,7,7,7,6,3,7,1,4,6,4,1,4,7,7,5,2,4,-0.08333333333333304,0,KG B
2,66,6,6,1,7,1,6,7,5,2,3,7,7,6,6,1,7,1,7,7,5,1,5,7,7,5,2,5.5,0,0,KG B
2,26,7,7,4,7,1,7,7,7,1,2,7,7,4,3,6,7,1,7,7,5,1,2,7,7,5,4,4.75,0.5833333333333339,0,KG B
2,51,4,4,7,6,2,6,6,1,3,7,7,7,3,1,7,6,3,3,4,1,3,7,7,7,5,3,5,0.833333333333333,0,KG B
1,64,7,7,1,7,1,7,7,7,1,1,7,1,7,1,7,7,1,1,7,1,1,7,7,7,4,1,3,1,0,KG B
1,74,4,6,5,6,2,4,6,2,6,4,6,5,3,5,5,6,2,5,6,4,2,4,6,5,8,3,4.5,-0.4166666666666661,0,KG B
1,23,5,5,4,7,4,3,7,5,4,4,6,4,4,4,4,6,6,4,6,5,5,4,5,4,7,1,5.25,0.583333333333333,0,KG B
1,56,7,6,4,7,2,4,7,3,1,5,7,6,5,6,4,5,3,4,5,4,1,5,7,6,5,2,5,0.5,0,KG B
1,24,5,5,3,7,1,6,7,6,1,2,7,2,3,1,3,7,1,7,6,5,1,4,7,2,9,1,4.75,0.75,0,KG B
1,63,7,7,7,7,7,6,7,4,1,5,7,7,2,2,7,6,1,5,7,1,1,7,7,7,3,5,5.25,0.9166666666666661,0,KG B
2,60,7,7,7,7,1,7,2,2,3,4,7,7,7,7,7,7,1,7,4,3,3,5,7,7,5,5,4.5,-0.166666666666667,0,KG B
2,57,4,3,2,6,2,6,6,6,2,4,6,6,4,4,3,7,2,7,7,6,1,5,7,7,4,1,4.5,-0.5833333333333339,0,KG B
2,76,7,7,3,7,1,6,7,3,3,5,7,7,7,7,4,7,1,7,7,4,1,7,7,7,3,0,5,-0.25,0,KG B
2,52,7,7,7,7,1,7,7,5,1,4,7,7,7,7,7,7,2,6,7,2,1,5,7,7,7,6,5,0.5,0,KG B
1,27,4,2,2,6,2,5,3,5,1,2,4,4,2,1,1,3,2,2,2,2,1,2,1,1,7,9,4.25,1.666666666666667,0,KG B
1,46,6,5,4,7,1,7,5,5,1,4,6,7,5,2,6,7,1,7,5,4,1,3,6,7,9,0,4.75,0.1666666666666661,0,KG B
2,59,2,7,1,4,2,7,7,7,1,1,7,7,1,7,1,5,1,7,7,7,1,1,7,7,4,0,3,-0.08333333333333304,0,KG B
1,41,6,6,5,6,3,6,7,3,1,2,6,6,5,5,6,6,2,6,6,2,2,2,6,6,7,2,4.5,0.25,0,KG B
1,28,5,5,2,6,3,4,5,3,2,5,5,2,4,4,1,5,2,3,4,2,2,6,5,2,8,6,5.25,0.5833333333333335,0,KG B
1,25,7,7,7,7,1,7,7,1,1,7,7,7,7,7,7,7,1,1,7,1,1,7,7,7,5,2,1.5,0.5,0,KG B
1,62,7,7,7,7,1,7,7,6,1,4,7,7,7,7,7,7,1,7,7,5,1,4,7,7,8,4,5.25,0.08333333333333393,0,KG B
1,68,6,6,4,6,4,6,6,4,1,5,6,6,6,6,5,6,2,6,6,4,1,5,6,6,5,1,5.5,-0.25,0,KG B
1,23,7,7,5,7,1,7,6,5,1,7,7,7,7,7,1,7,1,5,7,1,1,7,7,7,7,1,5,0.75,0,KG B
2,34,3,3,5,7,1,5,7,5,1,2,7,3,7,7,7,7,1,7,7,6,3,5,7,7,9,9,3.5,-1,0,KG B
1,27,5,4,3,3,4,5,3,3,4,4,4,5,3,2,5,4,3,4,5,3,4,4,1,5,8,7,4,0.1666666666666665,0,KG B
1,31,4,5,4,5,5,5,4,5,4,4,4,5,4,6,4,3,4,5,5,4,4,2,5,5,8,4,4.5,-0.25,0,KG B
1,53,6,6,3,6,2,5,7,5,1,5,7,7,6,6,3,7,1,6,7,5,1,6,7,7,3,4,5.75,-0.1666666666666661,0,KG B
